address,vrf,tenant,status,role
192.168.2.10/24,Management,CCNP-Lab,active,anycast
192.168.2.11/24,Management,CCNP-Lab,active,anycast
192.168.2.12/24,Management,CCNP-Lab,active,anycast
192.168.2.13/24,Management,CCNP-Lab,active,anycast
192.168.2.14/24,Management,CCNP-Lab,active,anycast
192.168.2.15/24,Management,CCNP-Lab,active,anycast
192.168.2.16/24,Management,CCNP-Lab,active,anycast
192.168.2.17/24,Management,CCNP-Lab,active,anycast
192.168.2.18/24,Management,CCNP-Lab,active,anycast
192.168.2.19/24,Management,CCNP-Lab,active,anycast
192.168.2.20/24,Management,CCNP-Lab,active,anycast
192.168.2.30/24,Management,CCNP-Lab,active,anycast
192.168.2.31/24,Management,CCNP-Lab,active,anycast
192.168.2.32/24,Management,CCNP-Lab,active,anycast
192.168.2.33/24,Management,CCNP-Lab,active,anycast
192.168.2.34/24,Management,CCNP-Lab,active,anycast
192.168.2.35/24,Management,CCNP-Lab,active,anycast
